UTC,x_coord,y_coord,click,scroll
2022-08-15 01:50:03.100176,1536,-620,None,None
2022-08-15 01:50:03.104168,1536,-619,None,None
2022-08-15 01:50:03.108156,1536,-618,None,None
2022-08-15 01:50:03.118129,1536,-617,None,None
2022-08-15 01:50:03.126115,1534,-614,None,None
2022-08-15 01:50:03.128103,1534,-613,None,None
2022-08-15 01:50:03.129101,1534,-612,None,None
2022-08-15 01:50:03.136078,1534,-612,None,"[0, -1]"
2022-08-15 01:50:03.158028,1534,-611,None,None
2022-08-15 01:50:03.161032,1533,-611,None,None
2022-08-15 01:50:03.165007,1533,-610,None,None
2022-08-15 01:50:03.168996,1533,-609,None,None
2022-08-15 01:50:03.186947,1533,-608,None,None
2022-08-15 01:50:03.194931,1533,-608,None,"[0, -1]"
2022-08-15 01:50:03.195928,1532,-608,None,None
2022-08-15 01:50:03.283686,1532,-608,None,"[0, 1]"
2022-08-15 01:50:03.299183,1532,-609,None,None
2022-08-15 01:50:03.311122,1532,-609,None,"[0, 1]"
2022-08-15 01:50:03.313117,1532,-610,None,None
2022-08-15 01:50:03.320107,1532,-611,None,None
2022-08-15 01:50:03.325088,1532,-612,None,None
2022-08-15 01:50:03.326086,1532,-613,None,None
2022-08-15 01:50:03.329075,1532,-614,None,None
2022-08-15 01:50:03.332076,1532,-615,None,None
2022-08-15 01:50:03.335059,1532,-616,None,None
2022-08-15 01:50:03.338056,1532,-617,None,None
2022-08-15 01:50:03.340078,1532,-618,None,None
2022-08-15 01:50:03.345032,1532,-619,None,None
2022-08-15 01:50:03.353010,1532,-620,None,None
2022-08-15 01:50:03.426812,1532,-621,None,None
2022-08-15 01:50:03.590322,1532,-621,None,"[0, -1]"
2022-08-15 01:50:03.698041,1532,-621,Button.left,None
2022-08-15 01:50:03.862620,1532,-621,Button.right,None
2022-08-15 01:50:03.882573,1532,-621,None,"[0, 1]"
2022-08-15 01:50:04.022167,1532,-621,Button.left,None
2022-08-15 01:50:04.023164,1533,-621,None,None
2022-08-15 01:50:04.057075,1534,-621,None,None
2022-08-15 01:50:04.214961,1534,-620,None,None
2022-08-15 01:50:04.237867,1534,-620,None,"[0, -1]"
2022-08-15 01:50:04.263820,1534,-619,None,None
2022-08-15 01:50:04.290710,1534,-619,None,"[0, -1]"
2022-08-15 01:50:04.302674,1533,-619,None,None
2022-08-15 01:50:04.312673,1533,-618,None,None
2022-08-15 01:50:04.334587,1533,-617,None,None
2022-08-15 01:50:04.335584,1533,-617,None,"[0, -1]"
2022-08-15 01:50:04.379501,1534,-617,None,None
2022-08-15 01:50:04.389471,1534,-617,Button.left,None
2022-08-15 01:50:04.395439,1534,-618,None,None
2022-08-15 01:50:04.397423,1535,-618,None,None
2022-08-15 01:50:04.402406,1535,-619,None,None
2022-08-15 01:50:04.418383,1535,-619,None,"[0, 1]"
2022-08-15 01:50:04.423354,1536,-619,None,None
2022-08-15 01:50:04.426344,1536,-620,None,None
2022-08-15 01:50:04.431357,1536,-621,None,None
2022-08-15 01:50:04.435346,1536,-622,None,None
2022-08-15 01:50:04.439341,1536,-623,None,None
2022-08-15 01:50:04.441303,1537,-623,None,None
2022-08-15 01:50:04.443319,1537,-624,None,None
2022-08-15 01:50:04.449287,1537,-625,None,None
2022-08-15 01:50:04.451283,1537,-625,None,"[0, 1]"
2022-08-15 01:50:04.453274,1537,-626,None,None
2022-08-15 01:50:04.457262,1537,-627,None,None
2022-08-15 01:50:04.460253,1537,-628,None,None
2022-08-15 01:50:04.463266,1537,-629,None,None
2022-08-15 01:50:04.466251,1537,-630,None,None
2022-08-15 01:50:04.470226,1537,-631,None,None
2022-08-15 01:50:04.474235,1537,-632,None,None
2022-08-15 01:50:04.480200,1537,-633,None,None
2022-08-15 01:50:04.491171,1538,-633,None,None
2022-08-15 01:50:04.494202,1539,-633,None,None
2022-08-15 01:50:04.496157,1540,-633,None,None
2022-08-15 01:50:04.497154,1541,-633,None,None
2022-08-15 01:50:04.498150,1542,-633,None,None
2022-08-15 01:50:04.500147,1543,-633,None,None
2022-08-15 01:50:04.501144,1544,-633,None,None
2022-08-15 01:50:04.506131,1545,-633,None,None
2022-08-15 01:50:04.534093,1545,-633,Button.left,None
2022-08-15 01:50:04.537051,1545,-633,Button.right,None
2022-08-15 01:50:04.557994,1545,-632,None,None
2022-08-15 01:50:04.562977,1545,-631,None,None
2022-08-15 01:50:04.607786,1545,-630,None,None
2022-08-15 01:50:04.610690,1544,-630,None,None
2022-08-15 01:50:04.614700,1544,-629,None,None
2022-08-15 01:50:04.623668,1543,-629,None,None
2022-08-15 01:50:04.634636,1543,-628,None,None
2022-08-15 01:50:04.655562,1544,-628,None,None
2022-08-15 01:50:04.675603,1544,-629,None,None
2022-08-15 01:50:04.681509,1544,-629,Button.left,None
2022-08-15 01:50:04.698470,1544,-629,Button.right,None
2022-08-15 01:50:04.786211,1544,-630,None,None
2022-08-15 01:50:04.792200,1545,-630,None,None
2022-08-15 01:50:04.795218,1545,-631,None,None
2022-08-15 01:50:04.801178,1546,-631,None,None
2022-08-15 01:50:04.802175,1546,-632,None,None
2022-08-15 01:50:04.808458,1547,-633,None,None
2022-08-15 01:50:04.816440,1547,-634,None,None
2022-08-15 01:50:04.817433,1548,-634,None,None
2022-08-15 01:50:04.821450,1548,-635,None,None
2022-08-15 01:50:04.829402,1549,-635,None,None
2022-08-15 01:50:04.829402,1549,-636,None,None
2022-08-15 01:50:04.834388,1549,-637,None,None
2022-08-15 01:50:04.835408,1550,-637,None,None
2022-08-15 01:50:04.842368,1550,-638,None,None
2022-08-15 01:50:04.844362,1551,-638,None,None
2022-08-15 01:50:04.853336,1551,-639,None,None
2022-08-15 01:50:05.023295,1551,-639,None,"[0, -1]"
2022-08-15 01:50:05.052225,1551,-638,None,None
2022-08-15 01:50:05.056209,1551,-637,None,None
2022-08-15 01:50:05.057206,1551,-636,None,None
2022-08-15 01:50:05.058205,1551,-635,None,None
